2024-06-19 09:42:23 install libgomp1:amd64 <none> 14-20240330-1
2024-06-19 09:42:23 status half-installed libgomp1:amd64 14-20240330-1
2024-06-19 09:42:23 status unpacked libgomp1:amd64 14-20240330-1
2024-06-19 09:42:23 install libitm1:amd64 <none> 14-20240330-1
2024-06-19 09:42:23 status half-installed libitm1:amd64 14-20240330-1
2024-06-19 09:42:23 status unpacked libitm1:amd64 14-20240330-1
2024-06-19 09:42:23 install libatomic1:amd64 <none> 14-20240330-1
2024-06-19 09:42:23 status half-installed libatomic1:amd64 14-20240330-1
2024-06-19 09:42:23 status unpacked libatomic1:amd64 14-20240330-1
2024-06-19 09:42:24 install libasan8:amd64 <none> 14-20240330-1
2024-06-19 09:42:24 status half-installed libasan8:amd64 14-20240330-1
2024-06-19 09:42:24 status unpacked libasan8:amd64 14-20240330-1
2024-06-19 09:42:24 install liblsan0:amd64 <none> 14-20240330-1
2024-06-19 09:42:24 status half-installed liblsan0:amd64 14-20240330-1
2024-06-19 09:42:24 status unpacked liblsan0:amd64 14-20240330-1
2024-06-19 09:42:24 install libtsan2:amd64 <none> 14-20240330-1
2024-06-19 09:42:24 status half-installed libtsan2:amd64 14-20240330-1
2024-06-19 09:42:24 status unpacked libtsan2:amd64 14-20240330-1
2024-06-19 09:42:24 install libubsan1:amd64 <none> 14-20240330-1
2024-06-19 09:42:24 status half-installed libubsan1:amd64 14-20240330-1
2024-06-19 09:42:24 status unpacked libubsan1:amd64 14-20240330-1
2024-06-19 09:42:25 install libhwasan0:amd64 <none> 14-20240330-1
2024-06-19 09:42:25 status half-installed libhwasan0:amd64 14-20240330-1
2024-06-19 09:42:25 status unpacked libhwasan0:amd64 14-20240330-1
2024-06-19 09:42:25 install libquadmath0:amd64 <none> 14-20240330-1
2024-06-19 09:42:25 status half-installed libquadmath0:amd64 14-20240330-1
2024-06-19 09:42:25 status unpacked libquadmath0:amd64 14-20240330-1
2024-06-19 09:42:25 install libgcc-13-dev:amd64 <none> 13.2.0-24
2024-06-19 09:42:25 status half-installed libgcc-13-dev:amd64 13.2.0-24
2024-06-19 09:42:25 status unpacked libgcc-13-dev:amd64 13.2.0-24
2024-06-19 09:42:25 install gcc-13-x86-64-linux-gnu:amd64 <none> 13.2.0-24
2024-06-19 09:42:25 status half-installed gcc-13-x86-64-linux-gnu:amd64 13.2.0-24
2024-06-19 09:42:26 status unpacked gcc-13-x86-64-linux-gnu:amd64 13.2.0-24
2024-06-19 09:42:26 install gcc-13:amd64 <none> 13.2.0-24
2024-06-19 09:42:26 status half-installed gcc-13:amd64 13.2.0-24
2024-06-19 09:42:26 status unpacked gcc-13:amd64 13.2.0-24
2024-06-19 09:42:26 install gcc-x86-64-linux-gnu:amd64 <none> 4:13.2.0-7
2024-06-19 09:42:26 status half-installed gcc-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-06-19 09:42:26 status unpacked gcc-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-06-19 09:42:26 install gcc:amd64 <none> 4:13.2.0-7
2024-06-19 09:42:26 status half-installed gcc:amd64 4:13.2.0-7
2024-06-19 09:42:26 status unpacked gcc:amd64 4:13.2.0-7
2024-06-19 09:42:26 install libstdc++-13-dev:amd64 <none> 13.2.0-24
2024-06-19 09:42:26 status half-installed libstdc++-13-dev:amd64 13.2.0-24
2024-06-19 09:42:27 status unpacked libstdc++-13-dev:amd64 13.2.0-24
2024-06-19 09:42:27 install g++-13-x86-64-linux-gnu:amd64 <none> 13.2.0-24
2024-06-19 09:42:27 status half-installed g++-13-x86-64-linux-gnu:amd64 13.2.0-24
2024-06-19 09:42:27 status unpacked g++-13-x86-64-linux-gnu:amd64 13.2.0-24
2024-06-19 09:42:27 install g++-13:amd64 <none> 13.2.0-24
2024-06-19 09:42:27 status half-installed g++-13:amd64 13.2.0-24
2024-06-19 09:42:27 status unpacked g++-13:amd64 13.2.0-24
2024-06-19 09:42:28 install g++-x86-64-linux-gnu:amd64 <none> 4:13.2.0-7
2024-06-19 09:42:28 status half-installed g++-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-06-19 09:42:28 status unpacked g++-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-06-19 09:42:28 install g++:amd64 <none> 4:13.2.0-7
2024-06-19 09:42:28 status half-installed g++:amd64 4:13.2.0-7
2024-06-19 09:42:28 status unpacked g++:amd64 4:13.2.0-7
2024-06-19 09:42:28 install make:amd64 <none> 4.3-4.1
2024-06-19 09:42:28 status half-installed make:amd64 4.3-4.1
2024-06-19 09:42:28 status unpacked make:amd64 4.3-4.1
2024-06-19 09:42:28 install libdpkg-perl:all <none> 1.22.6+kali1
2024-06-19 09:42:28 status half-installed libdpkg-perl:all 1.22.6+kali1
2024-06-19 09:42:28 status unpacked libdpkg-perl:all 1.22.6+kali1
2024-06-19 09:42:28 install dpkg-dev:all <none> 1.22.6+kali1
2024-06-19 09:42:28 status half-installed dpkg-dev:all 1.22.6+kali1
2024-06-19 09:42:28 status unpacked dpkg-dev:all 1.22.6+kali1
2024-06-19 09:42:28 install build-essential:amd64 <none> 12.10
2024-06-19 09:42:28 status half-installed build-essential:amd64 12.10
2024-06-19 09:42:28 status unpacked build-essential:amd64 12.10
2024-06-19 09:42:28 install libassuan0:amd64 <none> 2.5.6-1+b1
2024-06-19 09:42:28 status half-installed libassuan0:amd64 2.5.6-1+b1
2024-06-19 09:42:28 status unpacked libassuan0:amd64 2.5.6-1+b1
2024-06-19 09:42:28 install gpgconf:amd64 <none> 2.2.40-3
2024-06-19 09:42:28 status half-installed gpgconf:amd64 2.2.40-3
2024-06-19 09:42:28 status unpacked gpgconf:amd64 2.2.40-3
2024-06-19 09:42:28 install libksba8:amd64 <none> 1.6.6-1
2024-06-19 09:42:28 status half-installed libksba8:amd64 1.6.6-1
2024-06-19 09:42:28 status unpacked libksba8:amd64 1.6.6-1
2024-06-19 09:42:28 install libnpth0t64:amd64 <none> 1.6-3.1
2024-06-19 09:42:28 status half-installed libnpth0t64:amd64 1.6-3.1
2024-06-19 09:42:28 status unpacked libnpth0t64:amd64 1.6-3.1
2024-06-19 09:42:29 install dirmngr:amd64 <none> 2.2.40-3
2024-06-19 09:42:29 status half-installed dirmngr:amd64 2.2.40-3
2024-06-19 09:42:29 status unpacked dirmngr:amd64 2.2.40-3
2024-06-19 09:42:29 install libfakeroot:amd64 <none> 1.33-1
2024-06-19 09:42:29 status half-installed libfakeroot:amd64 1.33-1
2024-06-19 09:42:29 status unpacked libfakeroot:amd64 1.33-1
2024-06-19 09:42:29 install fakeroot:amd64 <none> 1.33-1
2024-06-19 09:42:29 status half-installed fakeroot:amd64 1.33-1
2024-06-19 09:42:29 status unpacked fakeroot:amd64 1.33-1
2024-06-19 09:42:29 install gnupg-l10n:all <none> 2.2.40-3
2024-06-19 09:42:29 status half-installed gnupg-l10n:all 2.2.40-3
2024-06-19 09:42:29 status unpacked gnupg-l10n:all 2.2.40-3
2024-06-19 09:42:29 install gnupg-utils:amd64 <none> 2.2.40-3
2024-06-19 09:42:29 status half-installed gnupg-utils:amd64 2.2.40-3
2024-06-19 09:42:29 status unpacked gnupg-utils:amd64 2.2.40-3
2024-06-19 09:42:29 install gpg:amd64 <none> 2.2.40-3
2024-06-19 09:42:29 status half-installed gpg:amd64 2.2.40-3
2024-06-19 09:42:29 status unpacked gpg:amd64 2.2.40-3
2024-06-19 09:42:29 install pinentry-curses:amd64 <none> 1.2.1-3+b2
2024-06-19 09:42:29 status half-installed pinentry-curses:amd64 1.2.1-3+b2
2024-06-19 09:42:29 status unpacked pinentry-curses:amd64 1.2.1-3+b2
2024-06-19 09:42:29 install gpg-agent:amd64 <none> 2.2.40-3
2024-06-19 09:42:29 status half-installed gpg-agent:amd64 2.2.40-3
2024-06-19 09:42:29 status unpacked gpg-agent:amd64 2.2.40-3
2024-06-19 09:42:29 install gpg-wks-client:amd64 <none> 2.2.40-3
2024-06-19 09:42:29 status half-installed gpg-wks-client:amd64 2.2.40-3
2024-06-19 09:42:29 status unpacked gpg-wks-client:amd64 2.2.40-3
2024-06-19 09:42:29 install gpg-wks-server:amd64 <none> 2.2.40-3
2024-06-19 09:42:29 status half-installed gpg-wks-server:amd64 2.2.40-3
2024-06-19 09:42:29 status unpacked gpg-wks-server:amd64 2.2.40-3
2024-06-19 09:42:29 install gpgsm:amd64 <none> 2.2.40-3
